"Withdrawal Settings","Setări retragere"
"General Settings","Setări generale"
"Enable Module","Activare modul"
"Notification Email","E-mail notificare"
"Withdrawal Period (Days)","Perioadă de retragere (zile)"
"Email Settings","Setări e-mail"
"Email Sender","Expeditor e-mail"
"Customer Confirmation Email Template","Șablon e-mail confirmare client"
"Admin Notification Email Template","Șablon e-mail notificare administrator"
"Withdrawal Requests","Cereri de retragere"
"Withdrawals","Retrageri"
"Withdrawal","Retragere"
"Withdraw","Retrage"
"Withdraw Order","Retrage comanda"
"Submit Withdrawal","Trimite retragerea"
"Withdrawal submitted","Retragere trimisă"
"Period expired","Perioadă expirată"
"Withdrawal for Order #%1","Retragere pentru comanda #%1"
"Withdrawal Successfully Submitted","Retragere trimisă cu succes"
"Your withdrawal request for order #%1 has been received.","Cererea dumneavoastră de retragere pentru comanda #%1 a fost primită."
"You will receive a confirmation email shortly.","Veți primi un e-mail de confirmare în curând."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Magazinul vă va contacta cu privire la pașii următori (ex. returnare produse, rambursare)."
"Back to My Orders","Înapoi la comenzile mele"
"Continue Shopping","Continuați cumpărăturile"
"Search Order for Withdrawal","Caută comanda pentru retragere"
"Please enter your order number and the email address used for the order to find your order.","Introduceți numărul comenzii și adresa de e-mail utilizată la comandă."
"Order Number","Număr comandă"
"Email Address","Adresă e-mail"
"Search Order","Caută comanda"
"Order Date","Data comenzii"
"Order Status","Starea comenzii"
"Order Total","Total comandă"
"Items Ordered","Produse comandate"
"Product Name","Nume produs"
"SKU","SKU"
"Qty","Cant."
"Price","Preț"
"Subtotal","Subtotal"
"Withdrawal deadline:","Termen retragere:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Prin trimiterea retragerii, declarați că doriți să reziliați contractul de achiziție pentru această comandă."
"A withdrawal request has already been submitted for this order.","O cerere de retragere a fost deja trimisă pentru această comandă."
"The withdrawal period for this order has expired. The deadline was: %1","Perioada de retragere pentru această comandă a expirat. Termenul a fost: %1"
"Back","Înapoi"
"Confirm Withdrawal","Confirmați retragerea"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Sigur doriți să trimiteți retragerea pentru această comandă? Această acțiune nu poate fi anulată."
"Cancel","Anulare"
"Yes, Submit Withdrawal","Da, trimite retragerea"
"The order could not be found.","Comanda nu a putut fi găsită."
"Invalid form key. Please try again.","Cheie de formular invalidă. Vă rugăm să încercați din nou."
"The withdrawal function is currently not available.","Funcția de retragere nu este disponibilă în prezent."
"No order specified.","Nicio comandă specificată."
"Please log in to submit a withdrawal.","Vă rugăm să vă autentificați pentru a trimite o retragere."
"You are not authorized to withdraw this order.","Nu aveți autorizația de a retrage această comandă."
"You are not authorized to view this order.","Nu aveți autorizația de a vizualiza această comandă."
"The provided email does not match the order.","E-mailul furnizat nu corespunde comenzii."
"A withdrawal request already exists for this order.","O cerere de retragere există deja pentru această comandă."
"The withdrawal period for this order has expired.","Perioada de retragere pentru această comandă a expirat."
"Your withdrawal request was submitted.","Cererea dumneavoastră de retragere a fost trimisă."
"Unable to submit withdrawal request. Please try again.","Imposibil de trimis cererea de retragere. Vă rugăm să încercați din nou."
"Withdrawal requested by customer on %1.","Retragere solicitată de client pe %1."
"Please enter both order number and email address.","Introduceți numărul comenzii și adresa de e-mail."
"No order found with the given order number and email address.","Nicio comandă găsită cu numărul și adresa de e-mail indicate."
"Invalid request.","Cerere invalidă."
"Order #","Comanda #"
"Customer Name","Numele clientului"
"Customer Email","E-mail client"
"Status","Status"
"Pending","În așteptare"
"Confirmed","Confirmat"
"Rejected","Respins"
"Order Placed At","Comandă plasată la"
"Withdrawal Requested At","Retragere solicitată la"
"Comment","Comentariu"
"View Order","Vizualizare comandă"
"ID","ID"
"e.g. 000000001","ex. 000000001"
"your@email.com","al_tau@email.ro"
"Enable or disable the withdrawal button functionality.","Activați sau dezactivați funcționalitatea butonului de retragere."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","Adresă de e-mail pentru primirea notificărilor de retragere. Dacă este goală, se va folosi e-mailul general al magazinului."
